neg_event,event
PersonX does not score a point,PersonX scores a point
PersonX does not deliver newspapers,PersonX delivers newspapers
PersonX does not hire a trainer,PersonX hires a trainer
PersonX does not meet a great guy,PersonX meets a great guy
PersonX does not hiss at PersonY,PersonX hisses at PersonY
PersonX does not mind PersonX's business,PersonX minds PersonX's business
PersonX does not send PersonX's flowers,PersonX sends PersonX's flowers
PersonX does not support PersonY's view,PersonX supports PersonY's view
PersonX does not take PersonY's stance,PersonX takes PersonY's stance
PersonX does not mock PersonY,PersonX mocks PersonY
PersonX does not hug PersonY tightly,PersonX hugs PersonY tightly
PersonX does not take the dog,PersonX takes the dog
PersonX does not tell PersonY to wait,PersonX tells PersonY to wait
PersonX does not develop PersonY's potential,PersonX develops PersonY's potential
PersonX does not mount PersonY's horse,PersonX mounts PersonY's horse
PersonX does not improve PersonY's knowledge,PersonX improves PersonY's knowledge
PersonX does not dig holes,PersonX digs holes
PersonX does not wrap my arms around PersonY,PersonX wraps my arms around PersonY
PersonX does not move far away,PersonX moves far away
PersonX does not risk PersonX's life and limb,PersonX risks PersonX's life and limb
PersonX does not murder PersonY,PersonX murders PersonY
PersonX does not take care of children,PersonX takes care of children
PersonX does not do n't want to see PersonY again,PersonX does n't want to see PersonY again
PersonX does not afford a car,PersonX affords a car
PersonX does not spend some time with PersonY,PersonX spends some time with PersonY
PersonX does not sell PersonX's property,PersonX sells PersonX's property
PersonX does not secure PersonY's release,PersonX secures PersonY's release
PersonX does not download the app,PersonX downloads the app
PersonX does not unzip PersonY's pants,PersonX unzips PersonY's pants
PersonX does not offer PersonX's hand,PersonX offering PersonX's hand
PersonX does not want to make a cake,PersonX wants to make a cake
PersonX does not agree to the date,PersonX agrees to the date
PersonX does not dry PersonY,PersonX dries PersonY
PersonX does not open PersonY account,PersonX opens PersonY account
PersonX did not always fail,PersonX always failed
PersonX does not see the principal,PersonX sees the principal
PersonX does not drive to the shop,PersonX drives to the shop
PersonX does not take PersonY's mom,PersonX takes PersonY's mom
PersonX does not announce PersonY's arrival,PersonX announces PersonY's arrival
PersonX does not open PersonY's door,PersonX opens PersonY's door
PersonX does not take PersonY to the vet,PersonX takes PersonY to the vet
PersonX does not invite PersonZ's friend PersonY,PersonX invites PersonZ's friend PersonY
PersonX does not approach PersonX's crush,PersonX approaches PersonX's crush
PersonX does not open my door,PersonX opens my door
PersonX is not angry at PersonY's brother,PersonX is angry at PersonY's brother
PersonX does not drive two hours,PersonX drives two hours
PersonX does not open the front door,PersonX opens the front door
PersonX does not ask PersonY anything,PersonX asks PersonY anything
PersonX does not take charge of PersonY,PersonX takes charge of PersonY
PersonX does not teach PersonY to read,PersonX teaches PersonY to read
PersonX does not earn enough money,PersonX earns enough money
PersonX does not take the bus to work,PersonX takes the bus to work
PersonX does not pack the car,PersonX packs the car
PersonX is not coming to visit,PersonX is coming to visit
PersonX does not shut PersonY's mouth,PersonX shuts PersonY's mouth
PersonX does not ask PersonY to accompany,PersonX asks PersonY to accompany
PersonX does not paint PersonY picture,PersonX paints PersonY picture
PersonX does not eat at the restaurant,PersonX eats at the restaurant
PersonX does not surprise PersonY's friend,PersonX surprises PersonY's friend
PersonX is not hiking with friends,PersonX is hiking with friends
PersonX does not ask for PersonY explanation,PersonX asks for PersonY explanation
PersonX does not walk to PersonY's desk,PersonX walks to PersonY's desk
PersonX does not pay PersonX's friend,PersonX pays PersonX's friend
PersonX does not eat it anyways,PersonX eats it anyways
PersonX does not take PersonY to the shelter,PersonX takes PersonY to the shelter
PersonX does not engage PersonY's attention,PersonX engages PersonY's attention
PersonX is not interested in PersonY,PersonX is interested in PersonY
PersonX does not take a shot,PersonX takes a shot
PersonX does not ask my neighbor,PersonX asks my neighbor
PersonX does not seize PersonY opportunity,PersonX seizes PersonY opportunity
PersonX does not enjoy it very much,PersonX enjoys it very much
PersonX does not pay PersonY back,PersonX pays PersonY back
PersonX is not on PersonY's way home,PersonX is on PersonY's way home
PersonX does not back PersonY's car,PersonX backs PersonY's car
PersonX does not walk back to my car,PersonX walks back to my car
PersonX does not pay PersonY bill,PersonX pays PersonY bill
PersonX does not examine PersonY,PersonX examines PersonY
PersonX does not take PersonY inside,PersonX takes PersonY inside
PersonX does not bat for the other team,PersonX bats for the other team
PersonX is not on vacation in florida,PersonX is on vacation in florida
PersonX does not pay PersonY debts,PersonX pays PersonY debts
PersonX does not schedule an interview,PersonX schedules an interview
PersonX does not expect PersonY,PersonX expects PersonY
PersonX is not proud of PersonY's work,PersonX is proud of PersonY's work
PersonX does not beat the bishop,PersonX beats the bishop
PersonX does not take PersonY to see,PersonX takes PersonY to see
PersonX does not slow PersonY,PersonX slows PersonY
PersonX does not explain to PersonY,PersonX explains to PersonY
PersonX is not proud of what PersonY had done,PersonX is proud of what PersonY had done
PersonX does not belong to PersonY group,PersonX belongs to PersonY group
PersonX does not win the case,PersonX wins the case
PersonX does not pay the rent,PersonX pays the rent
PersonX does not see the baby,PersonX sees the baby
PersonX does not blow PersonY's nose,PersonX blows PersonY's nose
PersonX does not fall on PersonY,PersonX falls on PersonY
PersonX does not join PersonY later,PersonX joins PersonY later
PersonX does not talk a mile a minute,PersonX talks a mile a minute
PersonX does not upset the applecart,PersonX upsets the applecart
PersonX does not breastfeed PersonX's baby,PersonX breastfeeds PersonX's baby
PersonX does not pick a fight with PersonY,PersonX picks a fight with PersonY
PersonX does not feel PersonY's pulse,PersonX feels PersonY's pulse
PersonX does not send PersonY to PersonZ's room,PersonX sends PersonY to PersonZ's room
PersonX does not support PersonY's weight,PersonX supports PersonY's weight
PersonX does not rub PersonY's hands,PersonX rubs PersonY's hands
PersonX does not follow the rules,PersonX follows the rules
PersonX does not bring PersonY home,PersonX brings PersonY home
PersonX does not place my order,PersonX places my order
PersonX does not want children,PersonX wants children
PersonX does not tell PersonY's kids,PersonX tells PersonY's kids
PersonX does not bring PersonY to the hospital,PersonX brings PersonY to the hospital
PersonX does not rob peter to pay paul,PersonX robs peter to pay paul
PersonX does not play professional baseball,PersonX plays professional baseball
PersonX does not bring a dish,PersonX brings a dish
PersonX does not form PersonY organization,PersonX forms PersonY organization
PersonX does not add PersonY,PersonX adds PersonY
PersonX does not win the fight,PersonX wins the fight
PersonX does not play tricks,PersonX plays tricks
PersonX does not get PersonX's dream job,PersonX gets PersonX's dream job
PersonX does not apply to colleges,PersonX applies to colleges
PersonX does not bring children into the world,PersonX brings children into the world
PersonX does not send PersonY the books,PersonX sends PersonY the books
PersonX does not brush PersonY teeth,PersonX brushes PersonY teeth
PersonX does not play well with others,PersonX plays well with others
PersonX does not ask PersonY for PersonZ's number,PersonX asks PersonY for PersonZ's number
PersonX does not get PersonY's stuff,PersonX gets PersonY's stuff
PersonX does not burn PersonX's bridges,PersonX burns PersonX's bridges
PersonX does not play with PersonY's friends,PersonX plays with PersonY's friends
PersonX does not get PersonY's wallet back,PersonX gets PersonY's wallet back
PersonX does not buy another car,PersonX buys another car
PersonX does not prepare for PersonY attack,PersonX prepares for PersonY attack
PersonX does not buy my ticket,PersonX buys my ticket
PersonX does not sound PersonY alarm,PersonX sounds PersonY alarm
PersonX does not jump on PersonY,PersonX jumps on PersonY
PersonX does not get a glass of water,PersonX gets a glass of water
PersonX does not ask PersonY to come,PersonX asks PersonY to come
PersonX does not trust PersonY,PersonX trusts PersonY
PersonX does not buy some bread,PersonX buys some bread
PersonX does not prick PersonY's finger,PersonX pricks PersonY's finger
PersonX does not ask PersonY what was wrong,PersonX asks PersonY what was wrong
PersonX does not get a hole in one,PersonX gets a hole in one
PersonX does not protect PersonY's property,PersonX protects PersonY's property
PersonX does not run from PersonY,PersonX runs from PersonY
PersonX does not keep PersonX's mouth shut,PersonX keeps PersonX's mouth shut
PersonX does not call's mom,PersonX calls's mom
PersonX does not ask PersonY's son,PersonX asks PersonY's son
PersonX does not get a wiggle on,PersonX gets a wiggle on
PersonX does not provide PersonY assessment,PersonX provides PersonY assessment
PersonX does not rid PersonY's skateboard,PersonX rids PersonY's skateboard
PersonX does not get lost in the woods,PersonX gets lost in the woods
PersonX does not keep pace with PersonY,PersonX keeps pace with PersonY
PersonX does not call PersonX's sister,PersonX calls PersonX's sister
PersonX does not provide PersonY income,PersonX provides PersonY income
PersonX does not become a success,PersonX becomes a success
PersonX does not tell PersonY the problem,PersonX tells PersonY the problem
PersonX does not give PersonY a cup,PersonX gives PersonY a cup
PersonX does not call a locksmith,PersonX calls a locksmith
PersonX does not provide PersonY outlet,PersonX provides PersonY outlet
PersonX does not kick the man,PersonX kicks the man
PersonX does not become more confident,PersonX becomes more confident
