event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original
PersonX does not win PersonY's heart,"[""none""]","[""none""]","[""to avoid personx"", ""to look at personx in disgust"", ""none""]","[""single"", ""alone"", ""unsuccessful"", ""repulsive""]","[""none""]","[""none""]","[""none""]","[""unhappy"", ""lonely"", ""disappointed""]","[""to sing for persony"", ""to cry themselves to sleep"", ""to be loved"", ""to be quick to judge""]",trn,PersonX wins PersonY's heart
PersonX does not threaten PersonY's existence,"[""none"", ""gets attacked by the media"", ""gets shunned by their wife""]","[""appreciative"", ""grateful"", ""happy""]","[""none"", ""to say sorry to PersonX"", ""to leave""]","[""kind"", ""caring"", ""settled"", ""careful""]","[""none"", ""gets allowed to remain at personY's side"", ""gets called personY's mistress by the media""]","[""to be kind"", ""to be caring"", ""to be friends""]","[""none"", ""to talk to PersonY"", ""to have a conversation with PersonY""]","[""empathetic"", ""supportive"", ""merciful"", ""friendly""]","[""remain peaceful"", ""avoid conflict"", ""PersonY to apologize"", ""PersonY to admit what they did wrong""]",trn,PersonX threatens PersonY's existence
PersonX does not give it to PersonX's mother,"[""none"", ""argued with"", ""yelled at""]","[""excluded"", ""hurt"", ""none""]","[""none"", ""to ask for the item"", ""to ignore PersonX""]","[""unkind"", ""rude"", ""mean"", ""selfish""]","[""hides it"", ""throws it away"", ""yelled at"", ""grounded""]","[""keep it for themselves"", ""avoid involving personx's mother"", ""none""]","[""none"", ""to know PersonX's mother"", ""to refrain from giving something""]","[""regretful"", ""guilty"", ""selfish"", ""disillusioned""]","[""to keep it for themselves"", ""to preserve it for them"", ""to give it to someone else"", ""to relent""]",trn,PersonX gives it to PersonX's mother
PersonX does not put a smile on my face,"[""none"", ""is not cheered up"", ""doesn't have a change in mood""]","[""none""]","[""none""]","[""dull"", ""boring"", ""serious"", ""solemn"", ""earnest""]","[""none""]","[""none""]","[""to attend an interview"", ""to know jokes"", ""none""]","[""Dictation mode"", ""AppreciatedDisappointed"", ""unfriendly"", ""mean""]","[""convey the jokes"", ""to make everyone laugh"", ""to be rebellious"", ""to act pretentious""]",trn,PersonX puts a smile on my face
PersonX does not hop into PersonY's car,"[""none"", ""yells at personX"", ""Speeds off""]","[""offended"", ""annoyed"", ""none""]","[""none"", ""to entice PersonX to get in the car"", ""to drive PersonX home""]","[""unsure"", ""cautious"", ""reserved"", ""reluctant""]","[""is left behind"", ""does not get hurt"", ""none""]","[""to walk"", ""to stay away from PersonY"", ""they weren't invited"", ""they drove their own car""]","[""arrive at the event"", ""meet person Y"", ""none""]","[""motivated"", ""relieved"", ""happy to go"", ""saddened they weren't invited""]","[""go home"", ""find a ride home"", ""to walk home"", ""to stay away from PersonY""]",trn,PersonX hops into PersonY's car
PersonX does not see a movie together,"[""none""]","[""none"", ""Disappointed with personX"", ""Annoyed by personX""]","[""none"", ""go home"", ""see something different""]","[""lazy"", ""selfish"", ""rude"", ""shy"", ""uninterested""]","[""none""]","[""none"", ""To stay at home and take a nap"", ""To call a friend on the phone""]","[""To think of going to the movies"", ""To decide to go alone"", ""to have other plans"", ""not have any money""]","[""lonely"", ""bored"", ""Relaxed and comfortable staying at home"", ""Tired and exhausted after a long day""]","[""To write a movie review"", ""To go to bed"", ""go home"", ""see something else"", ""wait outside""]",trn,PersonX sees a movie together
PersonX does not buy a new mattress,"[""none""]","[""none""]","[""none""]","[""thrifty"", ""comfortable"", ""poor"", ""unconcerned""]","[""none"", ""has nowhere to sleep"", ""keeps all their money""]","[""to save money"", ""to not have to go to the store and deal with salespersons"", ""to keep their old mattress""]","[""none"", ""to check his bank account"", ""to go shopping""]","[""happy they were able to save money"", ""wondering when they will have to buy a new one"", ""thrifty"", ""uncomfortable""]","[""got disappointment"", ""stay alone"", ""to save more money"", ""to sleep on the old bed""]",trn,PersonX buys a new mattress
PersonX does not become roommates,"[""none""]","[""none"", ""disappointed"", ""hurt""]","[""find another roommate"", ""consider living alone themselves"", ""to find a roommate"", ""to call possible roommates""]","[""uncommitted"", ""independant"", ""scared"", ""unsure""]","[""none""]","[""none"", ""to live alone"", ""to avoid conflict""]","[""see if they need a roommate"", ""see if they could live alone"", ""to consider a roommate"", ""to read a roommate ad""]","[""rejected"", ""unwanted"", ""content"", ""guarded""]","[""live alone"", ""live independently"", ""to get a place alone"", ""to save money""]",trn,PersonX becomes roommates
PersonX does not pay PersonY tribute,"[""none""]","[""none""]","[""none"", ""call them out"", ""complete control""]","[""uncaring"", ""cold"", ""indifferent"", ""anti-social""]","[""none"", ""gets yelled at"", ""loses a friend""]","[""none""]","[""none""]","[""selfish"", ""unhelpful"", ""frugal"", ""distanced""]","[""to rebel"", ""to protest""]",trn,PersonX pays PersonY tribute
PersonX does not order pizza instead,"[""none""]","[""none""]","[""none""]","[""cheap"", ""skilled in the kitchen"", ""indecisive"", ""uninterested""]","[""none"", ""go for alternative items"", ""save money""]","[""to save money"", ""to make food"", ""to try something else"", ""to cater other's taste""]","[""to look at menus"", ""to decide what to order"", ""none""]","[""content"", ""pleased"", ""worthy"", ""happy""]","[""to order Chinese food"", ""place an order with a Chinese restaurant"", ""wait for delivery"", ""to make dinner"", ""to eat at home""]",trn,PersonX orders pizza instead
PersonX does not accompany by PersonY's wife,"[""none"", ""asks PersonX why they didn't accompany their wife"", ""finds someone else to accompany their wife""]","[""bothered"", ""annoyed"", ""none""]","[""to find someone else for PersonY's wife to accompany"", ""PersonY's wife can continue alone"", ""none""]","[""considerate"", ""safe"", ""reasonable"", ""alone"", ""unaccompanied""]","[""none"", ""PersonX goes on their own"", ""PersonX has to figure out what to say to PersonY's wife""]","[""to visit PersonY"", ""to hangout with PersonY"", ""none""]","[""to be going somewhere PersonY's wife also wants to go to"", ""shring a common task/destination with PersonY's wife"", ""go to new place"", ""meet personY""]","[""ignored"", ""not welcomed"", ""lonesome"", ""bored"", ""longing""]","[""n/s"", ""hate personY's wife"", ""stay away from her""]",trn,PersonX accompanies by PersonY's wife
PersonX is not the best in the class,"[""none""]","[""none""]","[""none""]","[""average"", ""passable"", ""dumb"", ""unscholarly""]","[""none"", ""finds another class"", ""cries""]","[""none""]","[""none"", ""to be enrolled in a course"", ""to work hard at school"", ""to not get the best marks""]","[""sad"", ""that he could do better"", ""like a failure"", ""foolish""]","[""to be lazy"", ""to be slow learner"", ""to improve their standing"", ""to have the highest grades""]",trn,PersonX is the best in the class
PersonX does not remove PersonY's shirt,"[""none""]","[""none"", ""respected"", ""comfortable""]","[""none"", ""to be closer to personX"", ""to know why they aren't good enough""]","[""respectful"", ""polite"", ""careful"", ""obedient""]","[""none""]","[""none"", ""be respectful"", ""be polite""]","[""To own persons Y shirt"", ""To keep it forever"", ""to get close to personY"", ""to decide not to go further""]","[""nonchalant"", ""unbothered"", ""considerate"", ""empathetic""]","[""Own it"", ""keep it"", ""to leave the room"", ""to respect personY""]",trn,PersonX removes PersonY's shirt
PersonX does not find a new job,"[""none""]","[""none""]","[""none""]","[""dejected"", ""penniless"", ""unskilled"", ""unambitious""]","[""they feel sad"", ""they are devastated"", ""becomes depressed"", ""runs out of savings""]","[""none"", ""because they like their current job"", ""because they feel lazy and don't want to bother""]","[""Search for jobs"", ""Apply more jobs"", ""to lose other job"", ""put out resumes"", ""go on interviews""]","[""dejected"", ""disappointed"", ""happy"", ""pressured""]","[""visit more office"", ""Prepare for interview"", ""keep searching online"", ""put in more applications""]",trn,PersonX finds a new job
PersonX does not eat PersonY's food,"[""none""]","[""Grateful"", ""Respected"", ""none""]","[""to tell PersonX to shut up"", ""to tell PersonX to stop scaring everyone"", ""share with personx"", ""to thank personx""]","[""sated"", ""surfeited"", ""rude"", ""impolite""]","[""none""]","[""Doesn't want to upset person y"", ""Doesn't believe in taking things that don't belong to you"", ""none""]","[""to think about food poisoning"", ""to notice how how the area is"", ""none""]","[""Proud of self"", ""Envious of Person y"", ""hungry"", ""starved"", ""unfulfilled""]","[""to tell PersonY about food safety"", ""to explain what they need to do"", ""to show respect"", ""to be kind""]",trn,PersonX eats PersonY's food
PersonX does not see a man about a dog,"[""none""]","[""none""]","[""none""]","[""allergic"", ""unconcerned"", ""busy"", ""uncooperative""]","[""none"", ""frowns"", ""breathes a sigh""]","[""none""]","[""none""]","[""concerned for the dog"", ""sad about the lonely dog"", ""discombobulated"", ""flummoxed""]","[""to get a dog"", ""to get a pet"", ""to get a dog very badly"", ""to go to the shelter and adopt one""]",trn,PersonX sees a man about a dog
PersonX does not get a hole in one,"[""none""]","[""none""]","[""none""]","[""unathletic"", ""unskilled"", ""unlucky"", ""unfocused""]","[""none""]","[""none""]","[""none""]","[""disappointed"", ""motivated"", ""inept"", ""annoyed""]","[""to dig up a hole"", ""wants to cover it up"", ""to find out"", ""to know""]",trn,PersonX gets a hole in one
PersonX is not a new mother,"[""none""]","[""none""]","[""none""]","[""a normal person"", ""carefree"", ""used to"", ""old""]","[""does not have any new children"", ""will not need to use a crib"", ""none""]","[""none""]","[""to have older kids"", ""to not have a newborn"", ""none""]","[""happy"", ""good"", ""unhappy"", ""disappointed""]","[""to not have more kids"", ""to raise the kids she's got"", ""person x grieves for the loss of the child"", ""person x sees a medical doctor""]",trn,PersonX is a new mother
PersonX does not get PersonY's books,"[""none"", ""argued with"", ""yelled at""]","[""angered"", ""helpless"", ""rejected"", ""betrayed""]","[""to keep their books"", ""to be selfish"", ""none""]","[""aloof"", ""unkind"", ""lazy"", ""uncaring""]","[""none"", ""reprimanded"", ""fired""]","[""to make persony do it"", ""be lazy"", ""to be rude"", ""to not help""]","[""none""]","[""better"", ""annoyed"", ""rude"", ""unhelpful""]","[""to save money at college"", ""to go to a used bookstore"", ""to go back and get them"", ""to apologize""]",trn,PersonX gets PersonY's books
PersonX did not grab PersonY's face,"[""none""]","[""boastful"", ""arrogant"", ""none""]","[""none""]","[""considerate"", ""mindful"", ""caring"", ""respectful""]","[""none"", ""is congratulated"", ""is forgiven""]","[""to not damage their relationship with PersonY"", ""to not physically harm PersonY"", ""none""]","[""none""]","[""subdued"", ""still angry at PersonY""]","[""apologize to person Y"", ""ask for person 's permission"", ""to express love to personY"", ""to hug personY""]",trn,PersonX grabs PersonY's face
PersonX does not ignore PersonY,"[""none""]","[""heard by PersonX"", ""appreciated"", ""happy"", ""thankful""]","[""to talk to PersonX"", ""to get to know PersonX"", ""attention"", ""a date""]","[""giving"", ""kind"", ""attentive"", ""caring""]","[""none""]","[""because they like PersonY"", ""because they are tired of being shy"", ""to be polite"", ""to be nice""]","[""to know PersonY"", ""to be in the same place as PersonY"", ""none""]","[""empowered"", ""excited"", ""pleased"", ""proud""]","[""to talk to PersonY"", ""to get to know PersonY"", ""to flirt"", ""to communicate""]",trn,PersonX ignores PersonY
PersonX does not give PersonY a ride,"[""none""]","[""disappointed"", ""frustrated"", ""sad"", ""annoyed""]","[""to keep walking to his destination"", ""to hitchhike"", ""to catch a bus"", ""none""]","[""unfriendly"", ""unwelcoming"", ""selfish"", ""rude""]","[""Scolded by personY"", ""Fired from taxi position"", ""none""]","[""to save time"", ""to go somewhere else"", ""to avoid conversation"", ""to be unhelpful""]","[""to see PersonY walking down the road"", ""to drive his car"", ""none""]","[""guilty"", ""independent"", ""pleased"", ""proud""]","[""to go back and pick PersonY up"", ""to drive to his location"", ""to let them walk"", ""to call them a taxi""]",trn,PersonX gives PersonY a ride
PersonX does not take PersonY's food,"[""none"", ""get filled"", ""get satisfied""]","[""full"", ""happy"", ""thankful"", ""trusting""]","[""to eat their food"", ""to put their food away"", ""to eat there food"", ""to be able to cook food that is there""]","[""respectful"", ""thoughtful"", ""Obedient"", ""Respectable""]","[""none"", ""get hungry"", ""have a grumbling stomach""]","[""to let PersonY enjoy their food"", ""to be respectful of personY"", ""to not steal"", ""to be honest""]","[""to choose to leave the food alone"", ""to not pick up the food"", ""to see the food"", ""to wonder whose food it is""]","[""respectful"", ""happy"", ""fair"", ""equitable"", ""just""]","[""to make their own food"", ""to eat something else"", ""to ask for a bite"", ""to see if there is more left""]",trn,PersonX takes PersonY's food
