event,oEffect,oReact,oWant,split,xAttr,xEffect,xIntent,xNeed,xReact,xWant
PersonX wants to be an actor,"[""none""]","[""none""]","[""none""]",tst,"[""confident"", ""anticipating"", ""ambitious"", ""versatile""]","[""gets interested in cinema"", ""takes acting classes"", ""tries to learn acting"", ""none"", ""watches movies""]","[""to be well known"", ""to earn money and fame"", ""to show his talent"", ""none""]","[""to think about there life"", ""to think it would be fun"", ""develop a love for it"", ""to watch actors"", ""none"", ""to of seen acting"", ""make plans""]","[""confident"", ""aspiring"", ""hopeful"", ""wishful""]","[""to take classes"", ""be in a movie or in a play"", ""to try out for a play"", ""to get a part in a production"", ""go to actor school"", ""to be in a movie"", ""to audition for roles"", ""get auditions"", ""to practice"", ""to study other actors"", ""to take acting classes"", ""to practice acting"", ""to move to California""]"
PersonX looks at PersonY like that,"[""PersonY becomes nervous and begins to sweat."", ""becomes uncomfortable"", ""none"", ""PersonY hides their face, self-conscious of what PersonX may see."", ""frowns""]","[""uncomfortable"", ""looked at"", ""like they are being misunderstood""]","[""to talk to PersonX"", ""to wonder why PersonX is looking at them like that"", ""to be left alone"", ""to find out what is going on"", ""talk"", ""to stare back""]",tst,"[""fed up"", ""focused"", ""peering"", ""glancing"", ""observant"", ""unenthusiastic"", ""curious""]","[""is slapped"", ""Sneers at Y"", ""is asked why they are looking like that"", ""PersonX sees spinach stuck in PersonY's teeth but says nothing of it."", ""PersonX notices that PersonY has newly formed pimples on his/her chin"", ""Tenses up with disdain""]","[""to communicate a message to the person"", ""to see the person.""]","[""none"", ""to look at PersonY"", ""to be near PersonY"", ""to walk up to PersonY"", ""to see PersonY""]","[""a little put off or maybe confused"", ""like they needed to look at the person.""]","[""to greet PersonY"", ""to roll his eyes"", ""to criticize"", ""to leave"", ""to talk to PersonY"", ""walk away""]"
PersonX finds ___ PersonY wanted,"[""none"", ""takes it from Person X"", ""thanks Person X""]","[""pleasantly surprised because they got something they like"", ""none"", ""grateful""]","[""an item"", ""to praise PersonX"", ""Play with it together."", ""to thank PersonX"", ""Lets him borrow it."", ""to say thanks""]",tst,"[""smart"", ""sleuthlike"", ""clever"", ""resourceful"", ""capable"", ""thoughtful"", ""accomplished""]","[""gets sweaty palms in excitement"", ""gives it to Person Y"", ""thinks about PersonY's wishes"", ""tells Person Y they found it""]","[""persony to be happy"", ""none"", ""to get persony what they want""]","[""to be friends with person Y"", ""to know what Person Y wanted"", ""to search for something"", ""Looked at a specialty store."", ""to listen to what PersonY wants"", ""Told him about it.""]","[""helpful"", ""surprised"", ""happy"", ""happy because they get to make persony feel great""]","[""to be thanked"", ""to make an appointment with PersonY"", ""Goes with him to get it."", ""to give something to personY"", ""to give the thing to Person Y"", ""Help him buy it.""]"
PersonX begins to bleed,"[""none""]","[""none""]","[""none""]",tst,"[""clumsy"", ""anemic"", ""hurt"", ""scared"", ""irresponsible"", ""afraid""]","[""lays down"", ""faints"", ""goes to hospital"", ""hurts"", ""cries"", ""gets weak""]","[""none""]","[""none""]","[""hurt"", ""scared"", ""injured"", ""very bad""]","[""inspect wound"", ""to stop the bleeding"", ""find a bandage"", ""get medical attention"", ""to find a bandaid"", ""put pressure on the wound""]"
PersonX gives PersonY relief,"[""thanks PersonX"", ""is comfortable"", ""thanks Y"", ""collapses on ground"", ""rests in bed"", ""is relaxed""]","[""pleased"", ""thankful"", ""grateful""]",[],tst,"[""adaptable"", ""amenable"", ""generous"", ""helpful"", ""supportive""]","[""conforts PersonY"", ""sits down with him"", ""carries his load"", ""is thanked"", ""is purposeful"", ""rubs PersonYs back""]","[""to help someone in need""]",[],"[""helpful"", ""heroic"", ""friendly""]",[]
PersonX makes PersonY change,"[""is cleaner"", ""wears new clothes"", ""becomes a new person"", ""looks better""]","[""bad"", ""unhappy"", ""happy"", ""also happy to have understood the good motive""]","[""tell X thank you"", ""exhibit autonomy"", ""be independent"", ""to yell at X""]",tst,"[""aggressive"", ""controlling"", ""manipulative"", ""intimidating"", ""helpful"", ""caring""]","[""none""]","[""person to act differently"", ""to change the person's attitude towards poor"", ""person to be better""]","[""develop a plan to change it"", ""none"", ""decide what needs to be changed""]","[""glad"", ""bad"", ""happy to bring about a good change"", ""guilty""]","[""to know what Y thinks"", ""enjoy the change that has been implemented"", ""be thanked"", ""to make up with Y""]"
PersonX leaves class,"[""none"", ""they prepare tomorrows lesson"", ""they get some rest""]","[""none"", ""disappointed"", ""frustrated""]","[""none""]",tst,"[""intellectual"", ""Running"", ""knowledgeable"", ""unintelligent"", ""irresponsible"", ""Rushed""]","[""they study"", ""returns to class"", ""Does not gain knowledge"", ""Loses learning opportunity"", ""goes to bathroom"", ""they go home""]","[""to go home"", ""to go somewhere else"", ""to do something else""]","[""Collect his books"", ""Finish the lesson"", ""finish the class"", ""complete getting information for assignments of the class""]","[""releaved"", ""relieved"", ""frustrated""]","[""To eat luch"", ""To get to his next class"", ""do something after the class"", ""To go home"", ""finish assignments after class""]"
PersonX kisses PersonY's cheek,"[""PersonY now has a face covered in germs"", ""kisses back"", ""smiles"", ""PersonY gets sick""]","[""loved"", ""satisfied also"", ""happy also"", ""loved and appreciated."", ""happy""]","[""to blush"", ""to hug personX""]",tst,"[""romantic"", ""sleazy"", ""forward"", ""caring"", ""overtly-friendly"", ""affectionate"", ""loving""]","[""none"", ""PersonX has germs on their mouth"", ""PersonX  has spread germs""]","[""to show affection"", ""to show how they feel"", ""to be loving and warm."", ""to show love""]","[""to approach personY"", ""to give personY hug""]","[""loved"", ""connected."", ""affectionate"", ""satisfied"", ""happy""]","[""to let go of personY"", ""to wisper in personY's ear""]"
PersonX works really well,"[""none"", ""Promotes X"", ""Gets a good job done""]","[""none""]","[""to see how well PersonX did"", ""to reward PersonX"", ""none""]",tst,"[""hardworking"", ""talented"", ""perseverant"", ""skilled""]","[""Gets a promotion"", ""gets a raise"", ""builds skills"", ""gets praised"", ""receives recognition"", ""Get recommendations""]","[""to be a successful employee."", ""complete the job""]","[""to train hard in their skills"", ""to know what to do"", ""to try hard"", ""to learn their work"", ""to like their work"", ""to be efficient"", ""to focus on the work""]","[""satisfied."", ""accomplished."", ""content."", ""hard working""]","[""to do more"", ""to ask for a reward"", ""to show their work to their boss"", ""to take a rest"", ""to get promoted"", ""to be respected"", ""to see how well they did""]"
PersonX makes PersonX's arrangements,"[""She puts the money into a drawer."", ""The clerk takes Person X's tickets and money."", ""none""]","[""none""]","[""none"", ""to find out the arrangements that were made."", ""to thank Person X""]",tst,"[""helpful"", ""organized"", ""responsible"", ""practical""]","[""Going to meet friends"", ""Going to travel some other place"", ""She takes the tickets to the airport."", ""Person X picks up her tickets.""]","[""to schedule something to get completed"", ""independence"", ""to be prepared""]","[""none"", ""to take the steps needed to make the arrangements"", ""to find out what Person Y needs arranged""]","[""prepared"", ""organized"", ""productive"", ""independent""]","[""log arrangements into phone"", ""to be thanked"", ""to finish the work"", ""to complete tasks"", ""to offer more help"", ""make plans to do them""]"
PersonX tightens PersonY's arms,"[""PersonY's arms beocome red from lack of blood flow"", ""none"", ""PersonY shouts""]","[""loving"", ""none"", ""restricted""]","[""to learn a technique"", ""none"", ""to teach PersonX a lesson"", ""to break free"", ""to get rid of the grip of PersonX""]",tst,"[""aggressive"", ""protective"", ""skill with their hands"", ""brave"", ""threatening"", ""nervous""]","[""PersonX tenses up"", ""none"", ""PersonX gets a muscle cramp""]","[""to get closer"", ""to feel warmer"", ""to restrain person""]","[""to throw PersonY on ground"", ""to get hold of PersonY's arms"", ""none"", ""to exercise their arms regularly"", ""to buy dumbbells""]","[""warmer"", ""happy"", ""afraid""]","[""PersonY to agree to his terms"", ""to show everybody that he is more powerful"", ""to restrain y"", ""to show y an exercise"", ""to tighten their stomach"", ""to show off their muscles""]"
PersonX finds PersonY's ball,"[""plays"", ""smiles"", ""gets invited to play""]","[""thankful"", ""happy""]","[""to play with ball"", ""To thank X"", ""to have ball back"", ""to get PersonX a prize"", ""to go play"", ""to thank PersonX"", ""To be grateful""]",tst,"[""helpful"", ""observant"", ""careful"", ""tedious""]","[""is thanked"", ""gets thanked"", ""keeps ball for self"", ""gets rewarded""]","[""none"", ""to help person y"", ""to be helpful""]","[""to be asked"", ""to search for it"", ""none"", ""To look for it"", ""To search"", ""to know what it looks like""]","[""helpful"", ""glad that the ball was found."", ""indifferent""]","[""to return the ball"", ""to interact with PersonY"", ""keep it to himself"", ""To give it to Y"", ""give it back to PersonY"", ""To return it to Y""]"
PersonX makes the team,"[""none""]","[""none""]","[""To use X's talents"", ""hand out jersey"", ""Win games with teammate"", ""To out together the mot competitive team"", ""pass judgement"", ""Practice with teammate""]",tst,"[""hardworking"", ""talented"", ""impressive"", ""ecstatic"", ""accomplished""]","[""makes friends"", ""buys equipment""]","[""to fit in"", ""to be included""]","[""Hone skills for sport"", ""To train"", ""To sign up for tryouts"", ""try out"", ""practice"", ""Exercise"", ""Practice""]","[""proud"", ""accomplished""]","[""To play a sport"", ""meet teammates"", ""To be a part of a group"", ""celebrate"", ""Play games for team"", ""Keep getting better""]"
PersonX always beat,"[""none"", ""gets defeated"", ""cries""]","[""none""]","[""challenge PersonX again"", ""to study more"", ""congratulate PersonX"", ""none"", ""to escape"", ""to practice more"", ""to run away""]",tst,"[""Persistent"", ""successful"", ""Long lasting"", ""annoyed"", ""angry"", ""competitive"", ""skilled""]","[""wins something"", ""gets congratulated"", ""none"", ""walks with their head up"", ""doesn't talk to anyone""]","[""won"", ""to win""]","[""enter contests"", ""to study"", ""To go near"", ""to practice"", ""challenge someone"", ""to take a stick"", ""practice"", ""practice a skill""]","[""competitive"", ""accomplished"", ""competent""]","[""challenge someone else"", ""to make him realise"", ""to reform him"", ""to brag to his friends"", ""celebrate"", ""to tell their parents"", ""collect winnings""]"
PersonX reads PersonY's diary,"[""becomes angry towards PersonX"", ""starts screaming"", ""PersonY gasps at PersonX"", ""gets excited and yells at personx for reading the diary"", ""cries"", ""PersonY jumps toward personX"", ""does not want to see PersonX anymore""]","[""angry"", ""betrayel"", ""betrayed"", ""violtated""]","[""to find a better hiding place"", ""To publish the diary"", ""to feel betrayed"", ""to confront person x"", ""To write a note in diary"", ""to hide their diary""]",tst,"[""sneaky"", ""curious"", ""inconsiderate""]","[""learn what PersonY were doing last Monday"", ""PersonX is yelled at"", ""yelled at by PersonY for invading their privacy"", ""gets yelled at by persony for reading the diary"", ""knows PersonY's secrets"", ""becomes angry with PersonY"", ""PersonX sweats from nervousness"", ""gets excited to read the diary""]","[""to find dirt on person y"", ""to be nosy"", ""to know secrets"", ""to be nosey"", ""to be nosey and read persony's private information""]","[""to find it"", ""none"", ""To have Y\u2019s diary"", ""to open it"", ""To be friend with Y""]","[""curious"", ""guilty"", ""ashamed"", ""embarrased""]","[""to act normally around person y"", ""To return the diary"", ""To give feedback"", ""to keep this action a secret"", ""to put it back"", ""to keep it a secret""]"
