event,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant,split,original,neg_cue,neg_cue_type
PersonX in no way asks PersonX's grandmother,"[""none""]","[""none""]","[""none"", ""to talk on the phone"", ""to make a call""]","[""independent"", ""stubborn"", ""shy"", ""distant""]","[""none"", ""asks someone else"", ""ignore their grandmother""]","[""none"", ""to be quiet"", ""to not be inquisitive""]","[""none"", ""to have asked their grandma for too much"", ""to have vowed not to ask grandma for anything else"", ""to call a friend"", ""to talk to mom""]","[""sad"", ""lonely"", ""quite"", ""unconcerned"", ""fine"", ""good""]","[""to ask their grandmother"", ""to not ask anyone"", ""to become more self-sufficient"", ""to become more independent"", ""to go home"", ""to hang up""]",tst,PersonX asks PersonX's grandmother,in no way,multi_word
PersonX barely ever improves PersonX's appearance,"[""to improve"", ""to work"", ""none""]","[""none""]","[""none""]","[""carefree"", ""sure of themselves""]","[""plan for a meeting"", ""none"", ""they lose their boy/girlfriend""]","[""to look natural"", ""to look normal"", ""none"", ""to go unnoticed"", ""to stay at home""]","[""none"", ""get a work done"", ""to be happy with the appearance"", ""to have more selfconfidence""]","[""insecure"", ""nervous"", ""careless"", ""uncaring"", ""lonely"", ""unattractive""]","[""to maintain a simple appearance"", ""to blend in with the crowd"", ""to rest"", ""get a work done"", ""to be happy"", ""to stay young""]",tst,PersonX improves PersonX's appearance,barely ever,multi_word
PersonX never falls from grace,"[""none""]","[""none""]","[""none""]","[""Christlike"", ""moral"", ""careful"", ""balanced""]","[""Person X is poor"", ""Person X is forgottoen"", ""none"", ""they are thought highly of""]","[""to be a role model"", ""to be worshipped"", ""none"", ""to be at peace"", ""to be aloen""]","[""to get work done"", ""none""]","[""holy"", ""powerful"", ""happy"", ""independent"", ""content""]","[""to get work done"", ""to remain in grace"", ""to work hard"", ""to stay well"", ""avoid pain""]",tst,PersonX falls from grace,never,single_word
PersonX is by no means a good swimmer,"[""none""]","[""none""]","[""none""]","[""unskilled"", ""unathletic"", ""unlucky""]","[""needs to take swimming lessons"", ""needs to become more skillful in the water"", ""get a work done"", ""stays dry"", ""drowns while swimming""]","[""none""]","[""none"", ""To try out swimming"", ""To practice swimming"", ""To jump in the water"", ""To get bathing suit on""]","[""ashamed"", ""sad"", ""clumsy"", ""shaky"", ""uncoordinated""]","[""to learn how to swim"", ""to play a sport other than swimming"", ""To Practice swimming more to get better"", ""To have someone teach them how to swim"", ""to practice swimming in free time"", ""to start a sport other than swimming""]",tst,PersonX is a good swimmer,by no means,multi_word
PersonX resists challenging PersonY's friend,"[""becomes more confident"", ""speaks louder"", ""none"", ""does not have to compete"", ""is avoided by PersonX""]","[""none"", ""proud"", ""pompous"", ""Superior"", ""Indomitable""]","[""none"", ""to talk some more"", ""to act dominantly""]","[""reluctant"", ""easy"", ""composed"", ""self restrained""]","[""none"", ""to go to work well"", ""is mocked"", ""gets harrassed""]","[""none"", ""to maintain composure"", ""to keep the peace"", ""To maintain a friendship with personY\u2019s friend"", ""To be kind to personY\u2019s friend""]","[""none"", ""to listen to PersonY's friend"", ""to meet with PersonY's friend""]","[""tired"", ""bored"", ""stifled"", ""tense"", ""Cowardly"", ""Weak""]","[""to remain friends"", ""to challenge themselves"", ""to leave the conversation"", ""to ask questions"", ""to not cause conflict"", ""stay unbias""]",tst,PersonX challenges PersonY's friend,resist,verb
PersonX restrains themselves from exercising every day,"[""none""]","[""none""]","[""none""]","[""composed"", ""careful"", ""lazy"", ""reluctant""]","[""none""]","[""to avoid exerting themselves"", ""to get rest some days"", ""to gain weight"", ""to focus on something else""]","[""none"", ""decide to work out"", ""decide on a schedule""]","[""relaxed"", ""safety conscious"", ""fit"", ""focused""]","[""to conserve energy"", ""to gain more weight"", ""rest on their off days"", ""work hard on their exercise days""]",tst,PersonX exercises every day,restrain,verb
PersonX in no way decides to have a picnic,"[""none""]","[""none""]","[""none""]","[""a home-body"", ""a workaholic"", ""responsible"", ""busy""]","[""none"", ""plan for a meeting""]","[""none"", ""to get some fresh air"", ""to eat food outside""]","[""none"", ""not like the weather"", ""not want to make food""]","[""uninterested"", ""uninvolved"", ""sad"", ""lonely"", ""relaxed"", ""full from eating""]","[""to stay inside"", ""to eat at a table"", ""schedule picnic for different date"", ""have lunch at home"", ""to go party"", ""to prepare the party""]",tst,PersonX decides to have a picnic,in no way,multi_word
PersonX under no circumstances learns new things,"[""none""]","[""none""]","[""none""]","[""adventurous"", ""perceptive"", ""foolish"", ""dense""]","[""stresses about being stagnant"", ""thinks the things he knows now is all he needs"", ""none"", ""does not get a good job"", ""is dumb""]","[""none"", ""to not study"", ""to quit school""]","[""none""]","[""deficient"", ""slow-witted"", ""bored"", ""dull"", ""ignorant"", ""incompetent""]","[""to stay the same"", ""to avoid learning more"", ""to learn"", ""to be helpful"", ""to remain ignorant"", ""to be lazy""]",tst,PersonX learns new things,under no circumstances,multi_word
PersonX never preheats the oven,"[""none""]","[""none""]","[""none""]","[""a barbecue chef"", ""a devotee of raw food"", ""lazy"", ""unskilled""]","[""plan for a meeting"", ""none"", ""Overcooks the meal"", ""Undercooks the meal""]","[""none"", ""be in a hurry"", ""not wait"", ""to move things along"", ""to not waste time""]","[""none""]","[""like a failure"", ""not satisfied with self"", ""quick"", ""spry"", ""impatient"", ""warranted""]","[""eat some food"", ""clean the dishes"", ""to eat sooner"", ""to start cooking sooner"", ""to cook new food"", ""to be more delicious""]",tst,PersonX preheats the oven,never,single_word
PersonX refuses to clean PersonY's clock,"[""get a work done"", ""expresses disdain"", ""thinks about someone else to ask for help"", ""they must clean it themselves""]","[""none"", ""relieved"", ""safe"", ""annoyed"", ""frustrated""]","[""none"", ""find someone else to clean the clock"", ""ask what can be offered to have the clock cleaned""]","[""bull-headed"", ""irresponsible"", ""proud"", ""unhelpful""]","[""get a work done"", ""none""]","[""none"", ""to be passive"", ""to not fight"", ""to relax"", ""PersonY to clean their own clock""]","[""none"", ""be near PersonY"", ""get a request from PersonY to clean clock"", ""to hate person y"", ""to get away from person y""]","[""untidy"", ""lazy"", ""glad"", ""relieved"", ""relaxed"", ""annoyed""]","[""to be clean"", ""to rest"", ""tell them why they don't want to clean the clock"", ""offer an alternate person to clean"", ""to go back home"", ""to block person y's number""]",tst,PersonX cleans PersonY's clock,refuse,verb
PersonX makes no attempt to hail a taxi,"[""none"", ""get a work done""]","[""none""]","[""none""]","[""lazy"", ""unconcerned"", ""absent-minded"", ""distracted"", ""loves to walk""]","[""none"", ""breaths heavy from walking"", ""sweats from walking""]","[""none"", ""to walk"", ""not pay"", ""to save money"", ""to get exercise walking""]","[""none"", ""to leave the house"", ""to not be interested in getting into a taxi"", ""to walk"", ""to ride a bike""]","[""strong"", ""active"", ""tired"", ""rideless"", ""frugal""]","[""to take his car"", ""to walk to the car"", ""to walk to personx's destination"", ""to be tire from walking"", ""to enjoy the scenery"", ""to exercise""]",tst,PersonX hails a taxi,make no attempt to,multi_word
PersonX under no circumstances visits PersonX's daughter,"[""to go to work well"", ""none"", ""grows distant"", ""cries""]","[""none"", ""disappointed"", ""sad""]","[""to feel alone"", ""to be distant from personx"", ""none"", ""to cry"", ""to ask personX why""]","[""static"", ""not travelling"", ""disrespectful"", ""inconsiderate""]","[""none"", ""loses custody"", ""grows distant""]","[""none"", ""to not take responsibility"", ""to be a dead beat""]","[""to have a partner"", ""to not be reponsible"", ""none""]","[""sad"", ""lonely"", ""independent"", ""guilty""]","[""to be a better parent"", ""to take parenting advises"", ""to avoid their daughter"", ""to do other things"", ""to contact them"", ""to cry""]",tst,PersonX visits PersonX's daughter,under no circumstances,multi_word
PersonX gets PersonY's nothing special,"[""none"", ""frowns"", ""shakes head"", ""becomes angry with PersonX"", ""thinks less of PersonX""]","[""none"", ""unsupported"", ""unloved""]","[""to prove themself"", ""to distance themself from PersonX"", ""none"", ""cries"", ""slap personX""]","[""indifferent"", ""cheap"", ""Thoughtless"", ""Uncomplicated""]","[""get a work done"", ""none"", ""is the object of PersonY's anger"", ""is reduced in PersonY's estimation""]","[""none"", ""to save their money"", ""to remain frugal""]","[""none"", ""to get work done""]","[""tired"", ""ordinary"", ""uncaring"", ""broke"", ""justified"", ""greedy""]","[""to forget about PersonY"", ""to remove PersonY from a pedestal"", ""to rest"", ""to work"", ""to get them a present"", ""to take them out""]",tst,PersonX gets PersonY's something special,nothing,single_word
PersonX never feels sad,"[""get a work done"", ""none""]","[""none""]","[""none""]","[""bubbly"", ""effusive"", ""happy"", ""cheerful""]","[""none"", ""thinks happiness is awesome"", ""stresses he is incapable of feeling sadness""]","[""none"", ""to succeed"", ""to enjoy life""]","[""none""]","[""happy"", ""excited"", ""satisfied"", ""optimistic"", ""promising""]","[""to be friendly"", ""to meet with others"", ""maintain happiness"", ""avoid negative subjects"", ""to go picnic"", ""to eat a lot""]",tst,PersonX feels sad,never,single_word
PersonX has trouble with overflowing PersonY's banks,"[""to rest"", ""to work"", ""none"", ""becomes poor"", ""stresses about having no money to spend""]","[""none"", ""filled"", ""loved""]","[""to yell at PersonX"", ""to remove PersonX from their bank account"", ""none""]","[""incomptent"", ""confused"", ""thrifty"", ""cheap""]","[""get a work done"", ""none"", ""becomes guilty"", ""needs to work harder to earn more money""]","[""none""]","[""to buy excessive things"", ""to have access to PersonY's banks"", ""to get work done"", ""none""]","[""broke"", ""sad"", ""uncontrollable"", ""energetic""]","[""to take a financial health class"", ""to apologize to PersonY"", ""to get work done""]",tst,PersonX overflows PersonY's banks,have trouble with,multi_word
PersonX disapproves directing PersonY,"[""get a work done"", ""none""]","[""none""]","[""none"", ""to feel frustrated"", ""to be more focused""]","[""unapproving"", ""displeased"", ""impatient"", ""entitled"", ""annoyed""]","[""none"", ""gets yelled at"", ""gets fired""]","[""none"", ""get a money""]","[""none"", ""to know about directions"", ""to be friends with persony"", ""to look at person y"", ""to talk to person y""]","[""disinterested"", ""disillusioned"", ""get a money"", ""annoyed"", ""frustrated""]","[""to find another person"", ""to apologize to person Y"", ""to be open about it to persony"", ""to give ideas"", ""to make an exception"", ""to to have fun""]",tst,PersonX directs PersonY,disapprove,verb
PersonX no longer sees wood,"[""none""]","[""none""]","[""none""]","[""a diver"", ""an arsonist"", ""nearsighted"", ""blind""]","[""to go to work well"", ""thinks about going back to the forest"", ""stresses about being lost"", ""is pointed out the wood"", ""is asked about the wood""]","[""none""]","[""to gather wood"", ""to burn the wood in a fire pit"", ""to live away from the woods"", ""to be surrounded by things different to wood"", ""none""]","[""busy"", ""disinterested"", ""annoyed"", ""frustrated"", ""unhappy"", ""stressed from separating from nature""]","[""to gather more wood"", ""to put that wood in the fire pit"", ""to go back to the forest"", ""to be connected to nature"", ""to find out what they are actually seeing"", ""to ask what they are looking at""]",tst,PersonX sees wood,no longer,multi_word
PersonX is deprived of an amazing time,"[""none"", ""get a work done""]","[""none""]","[""none""]","[""depressive"", ""miserable"", ""angry"", ""disappointed""]","[""sulks over how an amazing time could have been had"", ""thinks about other people who had an amazing time"", ""none"", ""has nothing to do"", ""falls asleep""]","[""none""]","[""to have homework on mind"", ""be stressed out about work"", ""none""]","[""left out"", ""bored"", ""sad"", ""unhappy"", ""ripped off"", ""swindled"", ""resentful""]","[""to take vacation"", ""try to reduce stress"", ""to go home"", ""to do a different event that would be more enjoyable"", ""to fix that"", ""do something else""]",tst,PersonX has an amazing time,is deprived of,multi_word
