event,split,xAttr,xEffect,oEffect,xReact,oReact,xWant,oWant,xIntent,xNeed,original
PersonX saves PersonY,tst,"[""brave"", ""arduous"", ""thoughtful"", ""caring""]","[""get thanked"", ""become grateful"", ""good relationship"", ""take care""]","[""none""]",,,"[""to relax"", ""to calm down"", ""to celebrate"", ""to have a drink"", ""PersonX help personY"", ""PersonY thank personX""]","[""to cry tears of joy"", ""to calm down"", ""to thank Person X"", ""to go to sleep"", ""none""]",,"[""none""]",PersonX wants to hurt PersonY
PersonX closes PersonX's doors,tst,"[""cautious"", ""energy saving"", ""private"", ""peace seeking""]","[""prevents breeze"", ""cuts off outside noise"", ""they go to bed"", ""they let the dog in""]","[""none""]",,,"[""have the favor returned"", ""be thanked"", ""open the door"", ""have privacy""]","[""thank personX"", ""return the favor"", ""none""]",,"[""approach the doors"", ""reach out for the doors"", ""grab the handle"", ""push it closed""]",PersonX opens PersonX's doors
PersonX continues to fight back,tst,"[""determined"", ""strong"", ""confrontational"", ""uncooperative""]","[""get hurt"", ""gets beat up"", ""defends themselves"", ""becomes stronger"", ""gains confidence in themselves"", ""gets hurt""]","[""hurts personx"", ""gets hurt"", ""loses the fight"", ""gets injured"", ""screams in pain and/or anger"", ""gives in""]","[""pugnacious"", ""proud"", ""motivated"", ""determined"", ""competent"", ""strong""]","[""none"", ""hurt"", ""mad""]","[""to try hard"", ""to win the game"", ""reconcile"", ""pleaded"", ""to win the boxing match"", ""to be the champion""]","[""none"", ""to continue fighting PersonX"", ""to win the boxing match""]","[""to defend himself"", ""to win the fight"", ""to promote his values"", ""to stand up for himself"", ""to live"", ""to win""]","[""none"", ""to be in a boxing ring"", ""to wear boxing gloves"", ""to be in the middle of a match""]",PersonX cries uncle
PersonX wants to play basketball,tst,"[""lively"", ""spirited"", ""sporty"", ""athletic""]","[""wakes up"", ""catches the balance"", ""need a team to play"", ""get a ball from couch""]","[""none""]",,,"[""to play a pickup game"", ""to join a league"", ""join a sports team"", ""travel to the basketball court""]","[""none""]",,"[""none""]",PersonX wants to play baseball
PersonX calls the pizza parlor,tst,"[""talkative"", ""resourceful"", ""talented"", ""hungry""]","[""receives pizza"", ""becomes full"", ""Asked what they would like to order"", ""Told that order will be ready in 15 minutes""]","[""talked to"", ""smiles"", ""none""]","[""satisfied"", ""happy"", ""hungry"", ""excited"", ""hopeful""]","[""none"", ""ready to make the order"", ""glad to have the business""]","[""eats the pizza"", ""pays  for the pizza"", ""to pick up the ordered pizza"", ""to eat the pizza"", ""to get good sleep""]","[""none""]","[""to eat pizza"", ""to order take out"", ""to eat"", ""to place an order""]","[""none"", ""to be hungry for pizza"", ""to pick up the phone"", ""to dial the pizza parlor phone number"", ""to take the phon"", ""to call the number""]",PersonX calls the ambulance
PersonX misses Person Y's ears,tst,"[""silly"", ""mercurial"", ""lonely"", ""weird"", ""strange""]","[""none""]","[""none""]",,,"[""to tell PersonY they miss them"", ""to follow up"", ""to be safe"", ""to be alone""]","[""none""]",,"[""to get to know PersonY"", ""to meet PersonY"", ""none""]",PersonX reaches PersonY's ears
PersonX is perfect,tst,"[""positive"", ""flawless"", ""attractive"", ""beautiful""]","[""none"", ""gets asked out"", ""is complimented""]","[""none"", ""falls into PersonX's shadow"", ""is in awe""]",,,"[""get even better"", ""stay pristine"", ""maintain perfection"", ""try more things""]","[""none""]",,"[""none""]",PersonX needs a lot of work
PersonX's car is stolen.,tst,"[""depressed"", ""looking for their car"", ""Frustrated"", ""Demoralized""]","[""becomes stranded"", ""gets a call from the insurance company"", ""Police arrive at the scene"", ""Questioned by police""]","[""none""]",,,"[""to find the car"", ""to complaint"", ""to call the police"", ""to get their car back""]","[""none"", ""to flee the law"", ""to abandon the car and run into the woods""]",,"[""none""]",PersonX finds PersonX's car
PersonX loses the dog.,tst,"[""scared"", ""worried"", ""distraught"", ""RUINED"", ""PARTED""]","[""gets worried"", ""shakes his head looking everywhere"", ""scans the horizon"", ""turns their head frantically""]","[""none""]","[""sad"", ""upset"", ""Sad"", ""Guilty"", ""extremely bad"", ""very worried"", ""sorry for the dog""]","[""none"", ""lost"", ""extremely sad""]","[""to find the dog"", ""to make posters of the dog and post them around town"", ""to cry a lot"", ""to buy a new dog"", ""reports it missing"", ""looks for it""]","[""none""]","[""none""]","[""to let the dog out without a leash"", ""to be busy"", ""to love dogs"", ""to buy a dog"", ""none""]",PersonX catches the dog
PersonY arches PersonX's back.,tst,"[""violent"", ""Forceful"", ""nimble"", ""athletic""]","[""back arched"", ""stretched out"", ""yells out in pain"", ""becomes injured"", ""goes to hospital""]","[""none"", ""is sued by person x"", ""becomes nervous from situation""]","[""helpful"", ""important"", ""stressed"", ""hurt"", ""strectched out"", ""better""]","[""comfortable"", ""at ease"", ""powerful"", ""determined"", ""none""]","[""to go for a ride"", ""to have fun"", ""thanks person y"", ""gives person y a hug"", ""Continue doing yoga"", ""Ask if they could do it back""]","[""none"", ""hang out with person x"", ""goes home"", ""Return the favor"", ""Continue yoga stretches""]","[""to stretch it"", ""to create comfort"", ""none"", ""to stretch"", ""to feel better""]","[""to read books"", ""to write home work"", ""is having back pain"", ""asks for help"", ""Get into a yoga position"", ""Ask before doing""]",PersonX arches PersonY back
PersonX missed the test,tst,"[""Lazy"", ""Irresponsible"", ""tardy"", ""irresponsible""]","[""fails class"", ""is kicked out of school"", ""gets reprimanded"", ""heads back""]","[""none""]",,,"[""to try to convince to teacher to let him take the test"", ""to take extra classes"", ""to rewrite the test"", ""to attend the school""]","[""none""]",,"[""to be late to school"", ""to not care"", ""to wake up late"", ""to miss the bus""]",PersonX finishes the test
PersonX is gaining weight.,tst,"[""repulsive"", ""unathletic"", ""fat"", ""unhealthy""]","[""eating much enough"", ""not mind about obesity"", ""gets called out on it by their friends"", ""gets laughed at""]","[""none""]",,,"[""lose some weight"", ""go to the gym"", ""to start exercising"", ""to work out""]","[""none""]",,"[""to eat more food"", ""exercise less"", ""none""]",PersonX is losing weight
PersonX wants to sleep all day,tst,"[""lazy"", ""irresponsible"", ""tired"", ""sleepy""]","[""closes eyes"", ""nods head"", ""become lazy"", ""become unfit""]","[""none""]",,,"[""to force themselves to get up"", ""to take a nap"", ""to watch tv"", ""to go out at night""]","[""none""]",,"[""none""]",PersonX wants to play
PersonX gets fired by PersonY,tst,"[""inexperienced"", ""unskilled"", ""incompetent"", ""dejected"", ""angry""]","[""face turns red, embarrassed"", ""sweats, nervous"", ""is evicted"", ""car is repossessed""]","[""none""]","[""Angry"", ""Confused"", ""sad"", ""bad"", ""Satisfied good feels good about themselves"", ""Tired""]","[""none""]","[""x should be calm"", ""do meditation"", ""to work hard"", ""to be active"", ""to find a new job"", ""to ask what they did wrong""]","[""none"", ""to get a new job"", ""to apologize for their behavior""]","[""none"", ""To give a gift"", ""Happy excited"", ""Satisfied""]","[""none"", ""to find a job"", ""to meet people""]",PersonX becomes PersonY agent
PersonX call off of work.,tst,"[""sick"", ""unmotivated"", ""incompetant"", ""tired""]","[""is taken to the doctor"", ""falls back to sleep"", ""they have to make it up""]","[""none""]",,,"[""to go to the beach"", ""to swim"", ""to dry the car"", ""to park the car""]","[""none""]",,"[""to get into the car"", ""to start the car"", ""to wash the car"", ""to fetch water""]",PersonX goes to work the next day
PersonX plays day and night,tst,"[""exhausted"", ""perfectionist"", ""tireless"", ""energetic""]","[""gets burnt out"", ""starts becoming unwell"", ""madness"", ""malnutrion""]","[""none""]",,,"[""take a break"", ""limit their playing"", ""rest"", ""find something else to do""]","[""none""]",,"[""none"", ""start playing"", ""keep playing""]",PersonX practices day and night
PersonX gets frozen,tst,"[""surprised"", ""shocked"", ""underdressed"", ""ill prepared""]","[""almost suffers from death"", ""gets rescued by a jogger"", ""gasps for air as he warms up"", ""they die""]","[""none""]",,,"[""to be in heat"", ""to get free"", ""leave the place"", ""warn up himselve""]","[""none""]",,"[""none"", ""get expose to cold"", ""stay in a freeze enviroment""]",PersonX gets burned
PersonX is filled with joy.,tst,"[""joyful"", ""delighted"", ""cheerful"", ""ecstatic""]","[""is smiled at"", ""gets a hug"", ""X leaps out of his chair"", ""X raises his arms without thinking""]","[""none""]",,,"[""to enjoy"", ""to celebrate"", ""celebrate"", ""call their parents""]","[""none"", ""to congratulate PersonX"", ""to ask what they are going to buy""]",,"[""none"", ""to win the championship"", ""to get the prize money""]",PersonX is really disappointed
PersonX hates to skateboard,tst,"[""unathletic"", ""clumsy"", ""lazy"", ""inactive""]","[""to ride bicycle"", ""go outing"", ""cringes from the noise the neighbors make on their board"", ""gets frustrated at watching only skateboard videos being on espn""]","[""none""]",,,"[""to go bike riding"", ""to call for a taxi"", ""to stay away from skateboarding"", ""to dedicate him/herself to other activities""]","[""none""]",,"[""none""]",PersonX loves to skateboard
PersonX lost PersonX's dog while watching him.,tst,"[""forgetful"", ""distracted"", ""lazy"", ""blind""]","[""tries to figure it out"", ""shows negative feelings"", ""panics"", ""cries""]","[""none""]","[""alarmed"", ""guilty"", ""worried the dog may be in danger"", ""sad"", ""worried""]","[""guilty"", ""none"", ""angry"", ""worried"", ""upset""]","[""to searching his dog"", ""to comeback his dog"", ""to take care of his dog"", ""to complaint police"", ""to call the vet who inserted the microchip"", ""tack \""missing dog\"" signs up in the neighborhood"", ""to call the local animal shelter"", ""to walk the route where the dog went missing""]","[""none""]","[""none""]","[""none"", ""to have dog"", ""to love pets""]",PersonX catches PersonX's dog
PersonX stays at current job,tst,"[""consistent"", ""satisfied"", ""unambitious""]","[""collects a paycheck"", ""gets a promotion"", ""gets a paycheck"", ""gets told they're a valued employee""]","[""none""]","[""happy"", ""proud of it"", ""a sense of accomplishment"", ""that they're making a difference"", ""that there is opportunity to grow"", ""secure""]","[""none"", ""that Person X is committed"", ""that Person X desires growth""]","[""to new job"", ""work for company"", ""works hard"", ""gets paid"", ""he is well experince"", ""he do everthing best""]","[""none""]","[""to stay in for the long term"", ""to keep their job"", ""to be promoted in the future"", ""to commit to the work done"", ""to succeed at their position"", ""to grow in their job skills"", ""to be loyal"", ""his work""]","[""none"", ""he got a job"", ""he continue the job""]",PersonX applies to jobs
PersonX spits out the drink,tst,"[""ungrateful"", ""messy"", ""disgusted"", ""sickened"", ""grossed out""]","[""clothes gets wet"", ""blushes"", ""cleans up"", ""buys a different drink""]","[""none""]",,,"[""to wash their mouth out"", ""to drink something else"", ""to clean up"", ""to pour out the drink""]","[""none""]",,"[""to sip on the drink"", ""to purchase the drink"", ""to pick up the drink"", ""to start to drink""]",PersonX takes a swig
PersonX gets rejected,tst,"[""incompetent"", ""unskilled"", ""upset"", ""unlikable""]","[""frowns"", ""gets teary eyed"", ""Devastated emotionally"", ""Scared to date anyone else""]","[""none""]",,,"[""to cry"", ""to drop out of college"", ""to improve"", ""to not give up""]","[""none""]",,"[""none"", ""does bad in interview"", ""doesn't pass test""]",PersonX gets accepted
PersonX is confident.,tst,"[""glad"", ""grateful"", ""proud"", ""haughty"", ""self-assured"", ""positive"", ""strong"", ""confident"", ""independent"", ""unflappable"", ""strong-willed""]","[""Receives compliments"", ""receives stares"", ""shows esteem"", ""can talk"", ""smiles"", ""laughs"", ""is successful"", ""is admired by others"", ""succeeds in life"", ""takes risks"", ""none""]","[""none""]",,,"[""to demonstrate his roping skills again"", ""to drive the car faster through the course"", ""remain confident"", ""trust themselves"", ""maintain confidence"", ""try new things"", ""to get job"", ""to be good"", ""to work hard"", ""change the mind"", ""work as well""]","[""to applaud person x"", ""to get away from the reckless driver"", ""none""]",,"[""none"", ""do a work sincerely"", ""make a good work""]",PersonX feels nervous
